Sample,18S,Nosema,Transect.ID,Individual.ID,Year,Site,Visit,Site_Visit,Lat,Long,Date_Collected,Type,Family,Genus,Species,Code,Sex,Date_ID,ID_Initials,Dissection_Date,Dissect_Intials,Notes
4337,1,0,K16B2N,K16B2N-37,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/11/2016,MF,8/3/2017,MZ,
4355,1,1,K16C2N,K16C2N-55,2016,K,2,K2,41.95222,-83.92257,8/28/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,11/4/2016,MF,8/3/2017,MZ,
2476,1,0,PL16A1N,PL16A1N-2,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/1/2016,ECC,5/1/2017,MZ,
2533,1,1,PL16D1N,PL16D1N-59,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/7/2016,ECC,5/2/2017,MZ,found with mite (very small and almot clear) and also peice of leg excoskeleton?
2475,1,0,PL16A1N,PL16A1N-1,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/1/2016,ECC,5/1/2017,MZ,found with flower
2534,1,1,PL16D1N,PL16D1N-60,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/8/2016,ECC,5/11/2017,MZ,
2604,1,1,PL16C1P,PL16C1P-130,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/7/2016,MF,5/17/2017,MZ,
2499,1,1,PL16B1N,PL16B1N-25,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/7/2016,ECC,5/17/2017,MZ,
2602,1,1,PL16C1P,PL16C1P-128,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/7/2016,MF,6/22/2017,MZ,
2554,1,0,PL16A1P,PL16A1P-80,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Apis,mellifera,APME,Female,12/7/2016,MF,7/6/2017,MZ,
2540,1,1,PL16D1N,PL16D1N-66,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/8/2016,ECC,5/17/2017,MZ,
2493,1,0,PL16A1N,PL16A1N-19,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/7/2016,ECC,6/19/2017,MZ,
2494,1,0,PL16A1N,PL16A1N-20,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/7/2016,ECC,6/22/2017,MZ,
2496,1,1,PL16A1N,PL16A1N-22,2016,PL,1,PL1,42.33729,-83.55478,8/11/2016,Bee,Apidae,Bombus,impatiens,BOIM,Female,12/7/2016,ECC,7/6/2017,MZ,insect larva (red colored) found halfway imbedded into pollen clump on bees' leg
